clustering,libraries,cluster,n_cells,median_cv,mean_cv,genes_used,silhouette_within_library,silhouette_global
celltype_call,leaf_control_rep3,Vascular/Phloem parenchyma,36,3.383605949657158,3.5760811755044353,1698,0.30648084277638166,0.22071257741608713
celltype_call,leaf_drought_rep1,Bundle sheath,283,3.3037952270971727,3.6286169299715896,1973,0.2734782887260127,0.18699104163939761
celltype_call,leaf_drought_rep1,Companion cells,129,3.7196310550207934,4.414112442864756,1911,0.3691162724217477,0.31814720626546805
celltype_call,leaf_drought_rep1,Epidermal,118,3.4509104583155503,3.8187166239393906,1961,0.2991881562538194,0.2696206693854541
celltype_call,leaf_drought_rep1,Epidermal/Pavement,19,3.0451858606389592,3.212700364547678,1453,0.4235689412120247,0.2533314870927789
celltype_call,leaf_drought_rep1,Guard cells,12,2.411960107110099,2.5935325454877036,1506,0.21356977635441987,0.23604351031225546
celltype_call,leaf_drought_rep1,Hydathode cells,24,3.390492216971176,3.368479650928638,1443,0.31717822075321217,0.2930132535050718
celltype_call,leaf_drought_rep1,Mesophyll,795,3.2572308263736125,3.579477384334132,1980,0.12486270593752859,0.1485382369156384
celltype_call,leaf_drought_rep1,Unknown,17,2.8259729587925446,2.821147500089108,1561,0.0700877550460167,0.11241370953377308
celltype_call,leaf_drought_rep1,Vascular/Phloem parenchyma,37,3.1375633720503866,3.4697418178353074,1843,0.2607754015474058,0.214313203924337
celltype_call,leaf_drought_rep2,Bundle sheath,245,2.994307408530066,3.2930223233681053,1985,0.20266457201003976,0.0705938298166072
celltype_call,leaf_drought_rep2,Companion cells,406,2.6307155492638294,2.88761434820392,1994,0.18440474356253833,0.12462502403714612
celltype_call,leaf_drought_rep2,Epidermal,407,2.7688418575027134,3.0527796274536003,1994,0.24593644735439013,0.20564189289212853
celltype_call,leaf_drought_rep2,Guard cells,85,2.4636750101957205,2.662130287684444,1981,0.16957720977605978,0.13436899634324823
celltype_call,leaf_drought_rep2,Hydathode cells,45,2.6504343997216653,2.8762495182883154,1956,0.0944443187769554,0.02795054268802695
celltype_call,leaf_drought_rep2,Mesophyll,1572,2.986015084199844,3.2941506941832928,1996,0.031966448784114566,0.14644433060401643
celltype_call,leaf_drought_rep2,Unknown,31,2.9689655153343812,3.218428169927514,1782,0.2763097280406002,0.11729743189797551
celltype_call,leaf_drought_rep2,Vascular/Phloem parenchyma,64,2.784857198101613,2.987340143464927,1966,0.05038587312068826,-0.15085700921576017
celltype_call,leaf_drought_rep3,Bundle sheath,36,2.9617862787281712,3.268627346705619,1788,0.16674694832797501,0.1468873820181106
