GeneID,Means-CK,Means-D_24,log2Ratio (D_24/CK),Up-Down-Regulation (D_24/CK),Probability
GLYMA10G31590,14.25666667,57.66666667,2.016100926,Up,0.816723224
GLYMA05G14791,33.28333333,126.1266667,1.922001501,Up,0.813121244
GLYMA19G02710,2.15,18.49,3.10433666,Up,0.850805938
GLYMA08G16640,0.293333333,8.09,4.785526775,Up,0.858391658
GLYMA07G09700,2.516666667,17.42,2.791158575,Up,0.829787911
GLYMA13G32060,2.34,17.35666667,2.890909471,Up,0.837504419
GLYMA18G33460,6.623333333,27.28,2.042214272,Up,0.800106045
GLYMA08G45820,11.35333333,69.57333333,2.615418509,Up,0.863174267
GLYMA15G07930,1.676666667,36.11666667,4.428996943,Up,0.926875221
GLYMA04G36920,0.23,6.34,4.784777074,Up,0.833686815
GLYMA09G01920,4.036666667,27.18666667,2.75166291,Up,0.847027218
GLYMA15G13891,4.156666667,21.30333333,2.357580222,Up,0.815691057
GLYMA08G43790,5.16,22.76333333,2.141268862,Up,0.800505479
GLYMA16G33510,2.47,25.75,3.381989485,Up,0.878168964
GLYMA11G13070,2.933333333,29.2,3.315355441,Up,0.881170025
GLYMA10G12051,0.01,7.71,9.59058705,Up,0.894602333
GLYMA19G44970,0.563333333,15.66333333,4.797258616,Up,0.906479321
GLYMA07G19335,0.01,5.76,9.169925001,Up,0.863598445
GLYMA10G28290,2.81,29.45333333,3.389788882,Up,0.882697066
GLYMA03G41600,1.776666667,28.4,3.998645992,Up,0.906861082
GLYMA19G28550,33.18,156.45,2.237315867,Up,0.842007777
GLYMA16G34570,51.53666667,303.0166667,2.555726014,Up,0.865022976
GLYMA04G14250,2.133333333,14.9,2.804131021,Up,0.821435136
GLYMA11G02630,3.82,21.55333333,2.496266463,Up,0.82282432
GLYMA11G15780,1.686666667,14.57666667,3.111414058,Up,0.838168964
GLYMA18G21870,1.11,12.28666667,3.468461989,Up,0.846383881
GLYMA01G02580,0.28,7.876666667,4.814086491,Up,0.857041357
GLYMA10G37770,24.23333333,95.44,1.97760118,Up,0.816330859
GLYMA18G44391,0.493333333,6.783333333,3.781359714,Up,0.805556734
GLYMA20G28890,12.78333333,134.4233333,3.394447602,Up,0.907073171
GLYMA04G11870,0.01,31.07,11.60130653,Up,0.973478261
GLYMA16G02390,0.126666667,13.01,6.682440234,Up,0.92708024
GLYMA17G33600,3.803333333,22.54,2.567151225,Up,0.827560976
GLYMA15G17788,0.563333333,7.836666667,3.798179387,Up,0.820636267
GLYMA10G27971,2.363333333,16.91666667,2.83955029,Up,0.834634146
GLYMA08G12340,2.963333333,20.07666667,2.760226935,Up,0.835461294
GLYMA11G34410,3.4,59.67666667,4.133560302,Up,0.926967126
GLYMA15G01550,0.57,7.59,3.735066061,Up,0.816723224
GLYMA01G38690,3.086666667,17.47,2.50075801,Up,0.813089431
GLYMA08G16850,2.283333333,17.64333333,2.949909761,Up,0.84008837
GLYMA17G09850,3.273333333,16.82666667,2.361916981,Up,0.804422057
GLYMA01G38990,0.26,6.806666667,4.710364932,Up,0.839639449
GLYMA18G45895,0.723333333,34.49333333,5.575513106,Up,0.953920113
GLYMA13G24490,15.42333333,190.3866667,3.625745943,Up,0.919045599
GLYMA14G11430,0.05,5.856666667,6.87200788,Up,0.858568399
GLYMA07G06230,4.366666667,33.41,2.935675672,Up,0.863616119
GLYMA17G14280,16.16666667,72.85666667,2.172038744,Up,0.830858961
GLYMA01G45241,3.473333333,17.92,2.367177861,Up,0.808179569
GLYMA07G37200,3.743333333,19.03666667,2.346385457,Up,0.810091905
GLYMA13G34980,0.883333333,9.916666667,3.488825404,Up,0.830180276
GLYMA08G06110,2.176666667,16.64,2.934463037,Up,0.836560622
GLYMA07G02320,0.993333333,10.4,3.388161793,Up,0.828720396
GLYMA08G08660,29.86,108.46,1.860877005,Up,0.806945917
GLYMA03G38420,2.986666667,21.71333333,2.861973082,Up,0.846624249
GLYMA08G39280,2.283333333,15.16,2.731056361,Up,0.820021209
GLYMA13G12074,19.84,101.74,2.358403068,Up,0.850537292
GLYMA06G04640,29.81333333,102.9933333,1.788521363,Up,0.80008837
GLYMA16G32550,0.103333333,6.796666667,6.03944975,Up,0.866521739
GLYMA03G04370,0.08,4.766666667,5.896836931,Up,0.822407211
