GeneID,Means-CK,Means-H_24,log2Ratio (H_24/CK),Up-Down-Regulation (H_24/CK),Probability
GLYMA13G31190,2.986666667,17.65,2.563060047,Up,0.804118804
GLYMA13G23790,14.43333333,85.21333333,2.561674662,Up,0.846853847
GLYMA08G19230,4.303333333,25.35666667,2.558838604,Up,0.82000882
GLYMA17G10050,36.75666667,216.23,2.556488853,Up,0.852898353
GLYMA12G33510,3.94,23.17,2.555990509,Up,0.816536817
GLYMA17G20070,3.593333333,21.02,2.548367992,Up,0.812007812
GLYMA10G34580,11.33,66.03,2.542973785,Up,0.842692343
GLYMA09G02800,5.583333333,32.52,2.542128663,Up,0.827845328
GLYMA07G19850,4.843333333,28.15666667,2.539404348,Up,0.823141323
GLYMA17G02670,16.68333333,96.83,2.537046526,Up,0.847217847
GLYMA15G16780,12.88,74.72333333,2.53642622,Up,0.844494844
GLYMA01G03820,18.5,107.15,2.534034674,Up,0.847434847
GLYMA03G38570,13.1,75.73,2.531298117,Up,0.844039844
GLYMA10G42540,11.52666667,66.54333333,2.529318768,Up,0.842167342
GLYMA08G20090,9.826666667,56.71666667,2.528998722,Up,0.83972084
GLYMA06G13280,3.886666667,22.33,2.522377963,Up,0.813141813
GLYMA06G15030,3.86,22.16333333,2.521502124,Up,0.812823313
GLYMA03G19810,56.58,324.85,2.521409623,Up,0.852054852
GLYMA19G40150,3.873333333,22.21,2.519561825,Up,0.812900313
GLYMA13G00840,11.3,64.66666667,2.516699474,Up,0.841358841
GLYMA15G21381,7.19,40.88666667,2.507566774,Up,0.832335832
GLYMA14G09580,3.19,18.07333333,2.502234283,Up,0.802578803
GLYMA02G09290,11.84,66.96,2.499630447,Up,0.840959841
GLYMA12G01130,5.533333333,31.16333333,2.493628816,Up,0.824107324
GLYMA20G27020,6.216666667,34.99333333,2.492866967,Up,0.827551328
GLYMA14G39160,19.85666667,111.64,2.491158666,Up,0.846010346
GLYMA12G03560,9.046666667,50.68666667,2.48614807,Up,0.835898836
GLYMA15G01100,8.223333333,46.06333333,2.485823599,Up,0.834075334
GLYMA15G06780,292.7,1636.566667,2.483177722,Up,0.851424851
GLYMA07G33090,5.003333333,27.97,2.482918778,Up,0.81995982
GLYMA20G36226,3.65,20.4,2.482600783,Up,0.807412307
GLYMA06G19450,3.336666667,18.54333333,2.474421131,Up,0.802389802
GLYMA17G04520,4.42,24.48333333,2.469681715,Up,0.814475314
GLYMA13G21310,5.55,30.71666667,2.468461989,Up,0.822714323
GLYMA04G41540,6.57,36.35333333,2.468122379,Up,0.827624828
GLYMA13G29360,3.423333333,18.85333333,2.461345938,Up,0.802743303
GLYMA20G04520,3.8,20.89666667,2.459201505,Up,0.807671308
GLYMA12G06290,3.306666667,18.16,2.457314678,Up,0.800954801
GLYMA16G04800,3.766666667,20.64,2.454082699,Up,0.806526807
GLYMA06G01700,11.13666667,60.56333333,2.44312713,Up,0.836612837
GLYMA08G43360,21.52666667,116.6533333,2.438030687,Up,0.843980344
GLYMA09G41850,13.94666667,75.01,2.427162591,Up,0.839195839
GLYMA13G37320,7.876666667,42.19666667,2.421471909,Up,0.828748329
GLYMA16G31270,9.06,48.38,2.416827814,Up,0.831614832
GLYMA18G08910,15.11666667,80.65,2.415534483,Up,0.83955284
GLYMA19G31320,9.47,50.46666667,2.413894469,Up,0.831873832
GLYMA07G02730,4.543333333,24.18333333,2.412190052,Up,0.810915811
GLYMA18G07160,6.706666667,35.64,2.409829532,Up,0.824040824
GLYMA13G11958,29.47333333,156.4933333,2.408619061,Up,0.844158844
GLYMA11G15090,32.25333333,171.1733333,2.407937792,Up,0.844596345
GLYMA17G18230,7.163333333,37.9,2.403494866,Up,0.825335825
GLYMA01G03120,4.36,22.88666667,2.392107316,Up,0.808042308
GLYMA14G06310,67.2,352.65,2.391703902,Up,0.845842346
GLYMA19G27200,26.14333333,137.16,2.391344805,Up,0.842520843
GLYMA13G12201,192.33,1006.95,2.388336329,Up,0.846825847
GLYMA02G14250,5.396666667,28.22,2.386577503,Up,0.815955816
GLYMA18G47770,6.533333333,34.14333333,2.385712759,Up,0.822049322
GLYMA13G32320,6.023333333,31.40333333,2.382283698,Up,0.818962319
GLYMA11G33590,4.456666667,23.21333333,2.380916738,Up,0.808056308
GLYMA10G32410,8.88,46.24333333,2.380613813,Up,0.828741329
GLYMA03G28490,28.00666667,145.79,2.380049576,Up,0.842317842
GLYMA05G27960,13.65,71.03333333,2.379595236,Up,0.835891836
GLYMA18G05890,38.7,200.9966667,2.376766104,Up,0.843819344
GLYMA16G34720,3.906666667,20.26,2.374624105,Up,0.801595302
GLYMA19G31230,7.876666667,40.73,2.370434686,Up,0.825440825
GLYMA02G40820,25.45333333,131.6,2.370232982,Up,0.841134841
GLYMA13G22650,17.00666667,87.85,2.368941888,Up,0.837802838
GLYMA13G26630,36.98333333,190.7866667,2.367013184,Up,0.843028343
GLYMA03G34420,15.84,81.61666667,2.365291455,Up,0.837032837
GLYMA09G24530,4.003333333,20.57,2.361268144,Up,0.801819302
GLYMA09G04630,6.226666667,31.95333333,2.359434485,Up,0.818374318
GLYMA01G20700,7.746666667,39.69666667,2.357370301,Up,0.824205324
GLYMA10G37620,57.01333333,292.05,2.356844127,Up,0.843791344
GLYMA12G07050,12.09666667,61.59,2.348086572,Up,0.832153832
GLYMA03G00920,6.763333333,34.32333333,2.343383304,Up,0.819452319
GLYMA05G34760,8.573333333,43.50666667,2.343308345,Up,0.825209825
GLYMA13G12010,169.2066667,858.5866667,2.343177358,Up,0.843899844
GLYMA04G40350,12.59666667,63.46333333,2.332881281,Up,0.831621832
GLYMA12G02310,4.21,21.2,2.332172126,Up,0.801574302
GLYMA03G40680,9.153333333,46.04666667,2.330727598,Up,0.825920326
GLYMA12G00800,6.343333333,31.87666667,2.329187714,Up,0.816655817
GLYMA15G04805,26.29,132.0166667,2.328134029,Up,0.838999839
GLYMA05G36876,15.86666667,79.52,2.325318684,Up,0.834575835
GLYMA10G41450,5.09,25.45,2.321928095,Up,0.808444808
GLYMA12G07040,18.53,92.28333333,2.316207235,Up,0.835681836
GLYMA19G35601,10.37,51.42,2.309913716,Up,0.822087822
GLYMA06G08670,8.54,42.13333333,2.302654083,Up,0.817579818
GLYMA19G39240,47.56666667,234.12,2.29922535,Up,0.835076335
GLYMA02G16365,9.933333333,48.85666667,2.298205607,Up,0.820663321
GLYMA08G45810,4.95,24.26666667,2.293475519,Up,0.8000518
GLYMA08G45820,11.35333333,55.6,2.291968949,Up,0.822409822
GLYMA02G38210.13,5.083333333,24.89333333,2.291912685,Up,0.800961801
GLYMA06G46680,24.83333333,121.4833333,2.29040857,Up,0.831397831
GLYMA15G15490,5.166666667,25.18333333,2.28516354,Up,0.801357301
GLYMA13G12018,26.14333333,127.3133333,2.283868514,Up,0.831128331
GLYMA09G35950,5.296666667,25.77333333,2.282722513,Up,0.801700302
GLYMA15G37230,6.016666667,29.26666667,2.282222103,Up,0.806411306
GLYMA15G42480,32.33333333,156.69,2.276818958,Up,0.832300832
GLYMA03G28731,8.146666667,39.45666667,2.275987297,Up,0.814944315
GLYMA13G27650,11.3,54.54,2.270991928,Up,0.820887321
GLYMA17G37180,7.97,38.42,2.26920589,Up,0.813771814
GLYMA15G27660,108.1466667,520.7433333,2.267583266,Up,0.834838335
GLYMA14G36850,23.22666667,111.7333333,2.26620562,Up,0.82953233
GLYMA09G39890,6.96,33.22,2.254892862,Up,0.808556809
GLYMA01G44930,34.02666667,162.14,2.252502315,Up,0.830652331
GLYMA01G41030,9.33,44.42,2.251260407,Up,0.815763316
GLYMA15G40761,9.043333333,42.92666667,2.246947602,Up,0.815017815
GLYMA08G01180,54.99333333,259.8766667,2.240498465,Up,0.831705832
GLYMA14G11960,6.31,29.81,2.240084465,Up,0.804615805
GLYMA17G02900,7,32.97666667,2.236018749,Up,0.807678308
GLYMA19G43460,56.72666667,267.0066667,2.234776767,Up,0.831173831
GLYMA13G11910,452.15,2118.596667,2.228235588,Up,0.832909833
GLYMA06G14820,27.06333333,126.7833333,2.227953655,Up,0.827988828
GLYMA10G33650,161.4933333,750.7966667,2.216947635,Up,0.832038332
GLYMA01G26220,6.786666667,31.54666667,2.216712512,Up,0.805287805
GLYMA10G01060,7.783333333,36.17666667,2.216599434,Up,0.809232309
GLYMA15G13230,7.09,32.91333333,2.214814612,Up,0.805886306
GLYMA18G15570,8.573333333,39.78666667,2.214356893,Up,0.810961311
GLYMA13G11905,52.24666667,242.24,2.213026209,Up,0.82967933
GLYMA06G38410,6.29,29.14666667,2.212198978,Up,0.802008302
GLYMA17G17730,15.62,72.24,2.209403439,Up,0.821492821
GLYMA12G13290,8.813333333,40.68,2.206560003,Up,0.811391811
GLYMA06G42950,16.42333333,75.72,2.20492744,Up,0.821608322
GLYMA11G27720,62.09,285.2733333,2.199912057,Up,0.82956033
GLYMA14G01405,6.713333333,30.80666667,2.198141406,Up,0.803394303
GLYMA18G47270,40.27,184.4933333,2.195791308,Up,0.828195328
GLYMA04G08560,7.706666667,35.27666667,2.194535348,Up,0.806628307
GLYMA07G07870,7.77,35.43666667,2.1892564,Up,0.806719307
GLYMA13G28630,29.80333333,135.6166667,2.185988888,Up,0.825857326
GLYMA08G37670,9.82,44.6,2.18324878,Up,0.811538812
GLYMA02G43270,50.76666667,229.9933333,2.179638602,Up,0.827575828
GLYMA01G17590,14.97333333,67.43666667,2.1711378,Up,0.817996318
GLYMA20G38950,13.60666667,61.01666667,2.164889686,Up,0.815738816
